VTX	 IDX	 in_normal.x	 in_normal.y	 in_normal.z	 in_position.x	 in_position.y	 in_position.z	 in_tangent.x	 in_tangent.y	 in_tangent.z	 in_texcoord0.x	 in_texcoord0.y
0	0	0.99213	0	0	-27.00713	10.57849	192.8342	0	0	-0.99213	0.14503	0.36639
1	1	0.99213	0	0	-26.9059	0.07052	209.13519	0	0	-0.99213	0.07904	0.40618
2	2	0.99213	0	0	-27.00713	0.07052	192.8342	0	0	-0.99213	0.14503	0.40618
3	3	0.30709	0	-0.94488	-38.2601	128.87781	477.86261	-0.94488	-0.00787	-0.30709	0.04879	0.40858
4	4	0.30709	0	-0.94488	-38.2601	188.4319	477.86261	-0.94488	0	-0.30709	0.04844	0.35763
5	5	0.89764	0	-0.43307	-30.98972	128.87781	483.40991	-0.43307	-0.00787	-0.89764	0.04103	0.4087
6	5	0.89764	0	-0.43307	-30.98972	128.87781	483.40991	-0.43307	-0.00787	-0.89764	0.04103	0.4087
7	4	0.30709	0	-0.94488	-38.2601	188.4319	477.86261	-0.94488	0	-0.30709	0.04844	0.35763
8	6	0.89764	0	-0.43307	-30.98972	188.4319	483.40991	-0.43307	0	-0.89764	0.04069	0.35763
9	7	0.30709	0	-0.94488	-38.2601	128.87781	477.86261	-0.94488	0	-0.30709	0.01859	0.40909
10	8	-0.01575	0	-0.99213	-70.06245	128.87781	478.4491	-0.99213	0	0.01575	0.04489	0.40929
11	9	0.30709	0	-0.94488	-38.2601	188.4319	477.86261	-0.94488	0	-0.30709	0.01899	0.35719
12	9	0.30709	0	-0.94488	-38.2601	188.4319	477.86261	-0.94488	0	-0.30709	0.01899	0.35719
13	8	-0.01575	0	-0.99213	-70.06245	128.87781	478.4491	-0.99213	0	0.01575	0.04489	0.40929
14	10	-0.01575	0	-0.99213	-70.06245	188.4319	478.4491	-0.99213	0	0.01575	0.04569	0.35739
15	11	0.99213	0	0.00787	-31.0787	128.87781	489.11801	0.00787	0	-0.99213	0.03893	0.40959
16	12	0.89764	0	-0.43307	-30.98972	128.87781	483.40991	-0.43307	0	-0.89764	0.04373	0.40959
17	13	0.99213	0	0.00787	-31.0787	188.4319	489.11801	0.00787	0	-0.99213	0.03933	0.35769
18	13	0.99213	0	0.00787	-31.0787	188.4319	489.11801	0.00787	0	-0.99213	0.03933	0.35769
19	12	0.89764	0	-0.43307	-30.98972	128.87781	483.40991	-0.43307	0	-0.89764	0.04373	0.40959
20	14	0.89764	0	-0.43307	-30.98972	188.4319	483.40991	-0.43307	0	-0.89764	0.04413	0.35769
21	15	1	0	0	-31.08409	128.87781	513.36121	0	-0.00787	-0.99213	0.94021	0.45418
22	16	0.99213	0	0.00787	-31.0787	128.87781	489.11801	0.00787	0	-0.99213	0.96709	0.45378
23	17	1	0	0	-31.08409	188.4319	513.36121	0	0	-0.99213	0.94001	0.38283
24	17	1	0	0	-31.08409	188.4319	513.36121	0	0	-0.99213	0.94001	0.38283
25	16	0.99213	0	0.00787	-31.0787	128.87781	489.11801	0.00787	0	-0.99213	0.96709	0.45378
26	18	0.99213	0	0.00787	-31.0787	188.4319	489.11801	0.00787	0	-0.99213	0.96768	0.38303
27	19	-0.02362	0	-0.99213	-31.08409	128.87781	513.36121	-0.99213	0	0.02362	0.94021	0.45418
28	20	-0.02362	0	-0.99213	-31.08409	188.4319	513.36121	-0.99213	0	0.02362	0.94001	0.38283
29	21	-0.02362	0	-0.99213	-24.67478	128.87781	513.17029	-0.99213	0	0.02362	0.9327	0.45418
30	21	-0.02362	0	-0.99213	-24.67478	128.87781	513.17029	-0.99213	0	0.02362	0.9327	0.45418
31	20	-0.02362	0	-0.99213	-31.08409	188.4319	513.36121	-0.99213	0	0.02362	0.94001	0.38283
32	22	-0.02362	0	-0.99213	-24.67478	188.4319	513.17029	-0.99213	0	0.02362	0.9327	0.38283
33	23	0.99213	0	0	-24.53101	128.87781	550.32159	0	0	-0.99213	0.88982	0.45418
34	24	0.99213	0	0	-24.67478	128.87781	513.17029	0	0	-0.99213	0.9327	0.45418
35	25	0.99213	0	0	-24.53101	188.4319	550.32159	0	0	-0.99213	0.89021	0.38244
36	25	0.99213	0	0	-24.53101	188.4319	550.32159	0	0	-0.99213	0.89021	0.38244
37	24	0.99213	0	0	-24.67478	128.87781	513.17029	0	0	-0.99213	0.9327	0.45418
38	26	0.99213	0	0	-24.67478	188.4319	513.17029	0	0.00787	-0.99213	0.9327	0.38283
39	27	0.97638	0	-0.1811	47.72514	33.94006	560.32111	-0.1811	-0.00787	-0.97638	0.31663	0.23479
40	28	0.9685	0	-0.23622	38.5687	33.94006	531.28882	-0.23622	-0.00787	-0.9685	0.33243	0.23459
41	29	0.97638	0	-0.1811	47.72514	68.20684	560.32111	-0.1811	-0.00787	-0.97638	0.31643	0.21619
42	29	0.97638	0	-0.1811	47.72514	68.20684	560.32111	-0.1811	-0.00787	-0.97638	0.31643	0.21619
43	28	0.9685	0	-0.23622	38.5687	33.94006	531.28882	-0.23622	-0.00787	-0.9685	0.33243	0.23459
44	30	0.9685	0	-0.23622	38.5687	68.20684	531.28882	-0.23622	0	-0.9685	0.33233	0.21609
45	31	0.99213	0	-0.05512	48.59188	33.94006	574.77417	-0.05512	0	-0.99213	0.30913	0.23479
46	32	0.97638	0	-0.1811	47.72514	33.94006	560.32111	-0.1811	0	-0.97638	0.31663	0.23479
47	33	0.99213	0	-0.05512	48.59188	68.20684	574.77417	-0.05512	0	-0.99213	0.30893	0.21629
48	33	0.99213	0	-0.05512	48.59188	68.20684	574.77417	-0.05512	0	-0.99213	0.30893	0.21629
49	32	0.97638	0	-0.1811	47.72514	33.94006	560.32111	-0.1811	0	-0.97638	0.31663	0.23479
50	34	0.97638	0	-0.1811	47.72514	68.20684	560.32111	-0.1811	-0.00787	-0.97638	0.31643	0.21619
51	31	0.99213	0	-0.05512	48.59188	33.94006	574.77417	-0.05512	0	-0.99213	0.30913	0.23479
52	35	0.97638	0	-0.1811	47.72514	-0.33618	560.32111	-0.1811	0	-0.97638	0.31683	0.25329
53	36	0.97638	0	-0.1811	47.72514	33.94006	560.32111	-0.1811	0	-0.97638	0.31663	0.23479
54	37	0.99213	0	-0.05512	48.59188	-0.33618	574.77417	-0.05512	0	-0.99213	0.30923	0.25329
55	35	0.97638	0	-0.1811	47.72514	-0.33618	560.32111	-0.1811	0	-0.97638	0.31683	0.25329
56	31	0.99213	0	-0.05512	48.59188	33.94006	574.77417	-0.05512	0	-0.99213	0.30913	0.23479
57	38	0.9685	0	-0.23622	38.5687	-0.33618	531.28882	-0.23622	0	-0.9685	0.33263	0.25309
58	39	0.98425	0	-0.17323	32.38428	-0.33618	496.55301	-0.17323	0	-0.98425	0.35093	0.25299
59	40	0.9685	0	-0.23622	38.5687	33.94006	531.28882	-0.23622	0	-0.9685	0.33243	0.23459
60	40	0.9685	0	-0.23622	38.5687	33.94006	531.28882	-0.23622	0	-0.9685	0.33243	0.23459
61	39	0.98425	0	-0.17323	32.38428	-0.33618	496.55301	-0.17323	0	-0.98425	0.35093	0.25299
62	41	0.98425	0	-0.17323	32.38428	33.94006	496.55301	-0.17323	-0.00787	-0.98425	0.35083	0.23439
63	42	0.97638	0	-0.1811	47.72514	-0.33618	560.32111	-0.1811	-0.00787	-0.97638	0.31683	0.25329
64	43	0.9685	0	-0.23622	38.5687	-0.33618	531.28882	-0.23622	-0.00787	-0.9685	0.33263	0.25309
65	44	0.97638	0	-0.1811	47.72514	33.94006	560.32111	-0.1811	-0.00787	-0.97638	0.31663	0.23479
66	44	0.97638	0	-0.1811	47.72514	33.94006	560.32111	-0.1811	-0.00787	-0.97638	0.31663	0.23479
67	43	0.9685	0	-0.23622	38.5687	-0.33618	531.28882	-0.23622	-0.00787	-0.9685	0.33263	0.25309
68	45	0.9685	0	-0.23622	38.5687	33.94006	531.28882	-0.23622	-0.00787	-0.9685	0.33243	0.23459
69	46	-0.99213	0	0.11024	10.70796	0.25968	421.77719	0.11024	0	0.99213	0.07755	0.1991
70	47	-0.99213	0	0.11024	12.84445	0.25968	439.77328	0.11024	0	0.99213	0.10075	0.1992
71	48	-0.99213	0	0.11024	10.70796	9.22598	421.77719	0.11024	0	0.99213	0.07765	0.1872
72	48	-0.99213	0	0.11024	10.70796	9.22598	421.77719	0.11024	0	0.99213	0.07765	0.1872
73	47	-0.99213	0	0.11024	12.84445	0.25968	439.77328	0.11024	0	0.99213	0.10075	0.1992
74	49	-0.99213	0	0.11024	12.84445	9.22598	439.77328	0.11024	0	0.99213	0.10075	0.1872
75	50	-0.11024	0	-0.99213	19.62293	0.25968	420.7211	-0.99213	0	0.11024	0.26137	0.40793
76	51	-0.11024	0	-0.99213	10.70796	0.25968	421.77719	-0.99213	0	0.11024	0.30572	0.40813
77	52	-0.11024	0	-0.99213	19.62293	9.22598	420.7211	-0.99213	0	0.11024	0.26134	0.37015
78	52	-0.11024	0	-0.99213	19.62293	9.22598	420.7211	-0.99213	0	0.11024	0.26134	0.37015
79	51	-0.11024	0	-0.99213	10.70796	0.25968	421.77719	-0.99213	0	0.11024	0.30572	0.40813
80	53	-0.11024	0	-0.99213	10.70796	9.22598	421.77719	-0.99213	0	0.11024	0.3057	0.37025
81	54	0.99213	0	-0.11024	21.75084	0.25968	438.72198	0.11024	0	0.99213	0.10085	0.1639
82	55	0.99213	0	-0.11024	19.62293	0.25968	420.7211	0.11024	0	0.99213	0.07765	0.1638
83	56	0.99213	0	-0.11024	21.75084	9.22598	438.72198	0.11024	0	0.99213	0.10085	0.1758
84	56	0.99213	0	-0.11024	21.75084	9.22598	438.72198	0.11024	0	0.99213	0.10085	0.1758
85	55	0.99213	0	-0.11024	19.62293	0.25968	420.7211	0.11024	0	0.99213	0.07765	0.1638
86	57	0.99213	0	-0.11024	19.62293	9.22598	420.7211	0.11024	0	0.99213	0.07765	0.1757
87	58	0.11024	0	0.99213	12.84445	0.25968	439.77328	0.00787	-0.99213	0	0.11265	0.1873
88	59	0.11024	0	0.99213	21.75084	0.25968	438.72198	0	-0.99213	0	0.11275	0.1758
89	60	0.11024	0	0.99213	12.84445	9.22598	439.77328	0	-0.99213	0	0.10075	0.1872
90	60	0.11024	0	0.99213	12.84445	9.22598	439.77328	0	-0.99213	0	0.10075	0.1872
91	59	0.11024	0	0.99213	21.75084	0.25968	438.72198	0	-0.99213	0	0.11275	0.1758
92	61	0.11024	0	0.99213	21.75084	9.22598	438.72198	0	-1	0	0.10085	0.1758
93	62	0	1	0	12.84445	9.22598	439.77328	0.11024	0	0.99213	0.10075	0.1872
94	63	0	1	0	21.75084	9.22598	438.72198	0.11811	0	0.99213	0.10085	0.1758
95	64	0	1	0	10.70796	9.22598	421.77719	0.11811	0	0.99213	0.07765	0.1872
96	64	0	1	0	10.70796	9.22598	421.77719	0.11811	0	0.99213	0.07765	0.1872
97	63	0	1	0	21.75084	9.22598	438.72198	0.11811	0	0.99213	0.10085	0.1758
98	65	0	1	0	19.62293	9.22598	420.7211	0.11811	0	0.99213	0.07765	0.1757
99	66	0	0	-0.99213	-40.2955	54.57768	137.6586	-0.99213	0	0	0.78252	0.83312
100	67	0	0	-0.99213	-161.67551	124.5205	138.2818	-0.99213	0	0	0.99837	0.71577
101	68	0	0	-0.99213	-40.2955	124.5205	137.6586	-0.99213	0	0	0.78252	0.71577
102	66	0	0	-0.99213	-40.2955	54.57768	137.6586	-0.99213	0	0	0.78252	0.83312
103	69	0	0	-0.99213	-49.17658	54.57768	137.7189	-0.99213	0	0	0.79917	0.83312
104	67	0	0	-0.99213	-161.67551	124.5205	138.2818	-0.99213	0	0	0.99837	0.71577
105	69	0	0	-0.99213	-49.17658	54.57768	137.7189	-0.99213	0	0	0.79917	0.83312
106	70	0	0	-0.99213	-161.67551	54.57768	138.2775	-0.99213	0	0	0.99837	0.83312
107	67	0	0	-0.99213	-161.67551	124.5205	138.2818	-0.99213	0	0	0.99837	0.71577
108	71	0.05512	0	-0.99213	-32.71162	113.7383	374.14041	0	0.99213	0	0.37863	0.29422
109	72	0.05512	0	-0.99213	-32.68195	102.7858	374.11292	0	0.99213	0	0.35996	0.29422
110	73	0.05512	0	-0.99213	-55.45028	113.6626	372.80841	0	0.99213	0	0.37864	0.26117
111	73	0.05512	0	-0.99213	-55.45028	113.6626	372.80841	0	0.99213	0	0.37864	0.26117
112	72	0.05512	0	-0.99213	-32.68195	102.7858	374.11292	0	0.99213	0	0.35996	0.29422
113	74	0.05512	0	-0.99213	-55.4292	102.7101	372.78561	0	0.99213	0	0.35997	0.26116
114	75	0.99213	0	0.02362	-32.71162	113.7383	374.14041	0	0.99213	0	0.37863	0.29422
115	76	0.99213	0	0.02362	-34.51019	113.4545	441.86261	0	0.99213	0	0.37864	0.26118
116	77	0.99213	0	0.02362	-32.68195	102.7858	374.11292	0	0.99213	0	0.35996	0.29422
117	77	0.99213	0	0.02362	-32.68195	102.7858	374.11292	0	0.99213	0	0.35996	0.29422
118	76	0.99213	0	0.02362	-34.51019	113.4545	441.86261	0	0.99213	0	0.37864	0.26118
119	78	0.99213	0	0.02362	-34.48436	102.502	441.84839	0	0.99213	0	0.35997	0.26118
120	79	-0.99213	0	0.01575	10.7622	68.20684	561.2677	0.01575	-0.00787	0.99213	0.39413	0.21559
121	80	-0.99213	0	0.01575	11.09948	68.20684	575.90057	0.01575	0	0.99213	0.40173	0.21549
122	81	-0.99213	0	0.01575	10.7622	102.4831	561.2677	0.01575	0	0.99213	0.39393	0.19699
123	81	-0.99213	0	0.01575	10.7622	102.4831	561.2677	0.01575	0	0.99213	0.39393	0.19699
124	80	-0.99213	0	0.01575	11.09948	68.20684	575.90057	0.01575	0	0.99213	0.40173	0.21549
125	82	-0.99213	0	0.01575	11.09948	102.4831	575.90057	0.01575	0	0.99213	0.40153	0.19699
126	83	-0.01575	0	-0.99213	-29.43869	200.6055	568.01129	-0.99213	0	0.01575	0.07452	0.15789
127	84	-0.01575	0	-0.99213	-64.79038	203.6868	568.66321	-0.99213	0	0.01575	0.13781	0.15258
128	85	-0.01575	0	-0.99213	-25.54984	234.8732	567.93958	-0.99213	0	0.01575	0.06811	0.0935
129	85	-0.01575	0	-0.99213	-25.54984	234.8732	567.93958	-0.99213	0	0.01575	0.06811	0.0935
130	84	-0.01575	0	-0.99213	-64.79038	203.6868	568.66321	-0.99213	0	0.01575	0.13781	0.15258
131	86	-0.01575	0	-0.99213	-62.51604	240.2346	568.62128	-0.99213	0	0.01575	0.1348	0.08394
132	87	-0.02362	0	-0.99213	-24.02983	55.8291	511.40109	-0.99213	0	0.02362	0.92262	0.50212
133	88	-0.02362	0	-0.99213	-24.02983	129.89571	511.40109	-0.99213	0	0.02362	0.92065	0.33837
134	89	-0.02362	0	-0.99213	-16.62971	55.8291	511.18069	-0.99213	0	0.02362	0.91393	0.50212
135	89	-0.02362	0	-0.99213	-16.62971	55.8291	511.18069	-0.99213	0	0.02362	0.91393	0.50212
136	88	-0.02362	0	-0.99213	-24.02983	129.89571	511.40109	-0.99213	0	0.02362	0.92065	0.33837
137	90	-0.02362	0	-0.99213	-16.62971	129.89571	511.18069	-0.99213	0	0.02362	0.91215	0.33837
138	91	-0.02362	0	-0.99213	-16.62971	-0.70211	511.18069	-0.99213	0	0.02362	0.91432	0.36601
139	87	-0.02362	0	-0.99213	-24.02983	55.8291	511.40109	-0.99213	0	0.02362	0.92262	0.50212
140	89	-0.02362	0	-0.99213	-16.62971	55.8291	511.18069	-0.99213	0	0.02362	0.91393	0.50212
141	92	-0.02362	0	-0.99213	-24.02983	-0.70211	511.40109	-0.99213	0	0.02362	0.92302	0.36601
142	87	-0.02362	0	-0.99213	-24.02983	55.8291	511.40109	-0.99213	0	0.02362	0.92262	0.50212
143	91	-0.02362	0	-0.99213	-16.62971	-0.70211	511.18069	-0.99213	0	0.02362	0.91432	0.36601
144	93	0.01575	0	-0.99213	-24.52313	0.80825	366.33389	-0.99213	0	-0.01575	0.37475	0.32507
145	94	0.01575	0	-0.99213	-62.07154	0.76096	365.75101	-0.99213	0	-0.01575	0.40385	0.32497
146	95	0.01575	0	-0.99213	-24.59584	22.56194	366.38519	-0.99213	0	-0.01575	0.37475	0.30677
147	95	0.01575	0	-0.99213	-24.59584	22.56194	366.38519	-0.99213	0	-0.01575	0.37475	0.30677
148	94	0.01575	0	-0.99213	-62.07154	0.76096	365.75101	-0.99213	0	-0.01575	0.40385	0.32497
149	96	0.01575	0	-0.99213	-62.07154	22.56194	365.75101	-0.99213	0	-0.01575	0.40365	0.30657
150	97	0.99213	0	0	-16.62971	129.89571	511.18069	0	0	-0.99213	0.95405	0.33837
151	98	0.99213	0	0	-16.46371	129.89571	554.0752	0	0.00787	-0.99213	0.90424	0.33837
152	99	0.99213	0	0	-16.62971	55.8291	511.18069	0	0.00787	-0.99213	0.95583	0.50212
153	99	0.99213	0	0	-16.62971	55.8291	511.18069	0	0.00787	-0.99213	0.95583	0.50212
154	98	0.99213	0	0	-16.46371	129.89571	554.0752	0	0.00787	-0.99213	0.90424	0.33837
155	100	0.99213	0	0	-16.46371	55.03528	554.0752	0	0.01575	-0.99213	0.90504	0.50196
156	101	0.62205	0.77953	0	-48.23845	94.38693	147.7744	0	0	-0.99213	0.99847	0.85471
157	102	0.62205	0.77953	0	-47.95712	94.38693	192.974	0	0	-0.99213	0.84772	0.85471
158	103	0.94488	0.32283	0	-46.69455	92.41018	147.7646	0	0	-0.99213	0.99847	0.86335
159	101	0.62205	0.77953	0	-48.23845	94.38693	147.7744	0	0	-0.99213	0.99847	0.85471
160	104	0.4252	0.89764	0	-50.55191	95.49354	147.7932	0	0	-0.99213	0.99847	0.84606
161	102	0.62205	0.77953	0	-47.95712	94.38693	192.974	0	0	-0.99213	0.84772	0.85471
162	102	0.62205	0.77953	0	-47.95712	94.38693	192.974	0	0	-0.99213	0.84772	0.85471
163	104	0.4252	0.89764	0	-50.55191	95.49354	147.7932	0	0	-0.99213	0.99847	0.84606
164	105	0.4252	0.89764	0	-50.26197	95.49354	192.9881	0	0	-0.99213	0.84772	0.84606
165	103	0.94488	0.32283	0	-46.69455	92.41018	147.7646	0	0	-0.99213	0.99847	0.86335
